Model ID,Institutions,Country,Res.Lat,Res.Lon,ECS,Historical,ssp126,ssp245,ssp370,ssp585
ACCESS-ESM1-5,Commonwealth Scientific and Industrial Research Organisation,Australia,1.25,1.88,3.9,3,10,10,10,10
BCC-CSM2-MR,Beijing Climate Center,China,1.12,1.13,3.3,3,1,1,1,1
CanESM5,Canadian Centre for Climate Modelling and Analysis,Canada,2.79,2.81,5.6,10,10,10,10,10
CNRM-ESM2-1,CNRM (Centre National de Recherches Meteorologiques) and CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique),France,1.4,1.41,4.8,11,5,5,5,5
EC-Earth3,EC-Earth Consortium,Europe,0.7,0.7,4.3,5,5,5,5,5
GFDL-ESM4,"National Oceanic and Atmospheric Administration, Geophysical Fluid Dynamics Laboratory",USA,1,1.25,2.7,3,1,3,1,1
GISS-E2-1-G,Goddard Institute for Space Studies,USA,2,2.5,2.7,4,4,4,4,4
INM-CM5-0,Institute for Numerical Mathematics,Russia,1.5,2,1.9,9,1,1,5,1
IPSL-CM6A-LR,Institut Pierre Simon Laplace,France,1.27,2.5,4.6,9,5,6,9,5
MIROC6,"JAMSTEC (Japan Agency for Marine-Earth Science and Technology), AORI (Atmosphere and Ocean Research Institute), NIES (National Institute for Environmental Studies), and R-CCS (RIKEN Center for Computational Science)",Japan,1.4,1.41,2.6,10,3,3,3,3
MPI-ESM1-2-HR,Max Planck Institute for Meteorology,Germany,0.93,0.94,3,8,2,2,10,1
MRI-ESM2-0,Meteorological Research Institute,Japan,1.12,1.13,3.1,5,1,5,1,1
UKESM1-0-LL,Met Office Hadley Centre and Natural Environment Research Council,UK,1.25,1.88,5.4,9,5,5,5,5
